Config,Gain,Vcc,Vout,RC,RE,RG
CE,61.32,17.66,14.44,3220,52.48641553,9573.903502
CC,64.24,10.77,3.61,100,1000,22000
CE,96.55,10.75,7.93,2820,29.18266442,9321.690545
CG,58.96,18.88,2.2,1000,50,16.96
CC,66.58,10.52,9.15,100,1000,22000
CE,97.97,16.99,7.92,9070,92.55436103,9533.517151
CG,73.46,13.73,7.3,1000,50,13.61
CE,54.58,11.22,3.44,7780,142.5180561,9249.092642
CG,48.33,13.53,1.22,1000,50,20.69
CC,19.22,8.33,3.45,100,1000,22000
CE,69.77,10.39,4.67,5720,81.9586606,9247.393012
CC,14.43,19.55,12.46,100,1000,22000
CG,39.02,16.26,9.67,1000,50,25.63
CE,59.17,11.58,10.47,1110,18.73450651,9379.331169
CE,67.02,14.53,13.47,1060,15.79117428,9507.370148
CE,29.06,11.99,3.44,8550,294.1938575,9170.81413
CC,69.1,9.76,7.04,100,1000,22000
CE,67.94,5.2,2.99,2210,32.5037018,8591.339035
CE,14.13,19.65,9.27,10380,734.5822187,9269.932713
CC,10.29,11.77,1.2,100,1000,22000
CG,31.87,6.8,2.42,1000,50,31.38
CG,70.42,18.21,15.88,1000,50,14.2
CG,58.69,17.98,9.13,1000,50,17.04
CG,13.92,13.64,11.82,1000,50,71.84
CE,68.4,6.98,4.57,2410,35.20891813,8946.692094
CE,30.15,10.97,5.96,5010,166.1441542,9210.442886
CE,83.75,5.07,3.08,1990,23.73619403,8572.512438
CG,74.84,19.43,5.34,1000,50,13.36
CE,90.12,14.58,12.22,2360,26.16230581,9501.946292
CC,47.48,17.7,11.98,100,1000,22000
CE,77.87,11.18,7.2,3980,51.08582574,9328.187991
CE,60.22,18.23,12.24,5990,99.44361508,9561.468121
CE,67.67,13,3.54,9460,139.7710692,9354.022254
CE,45.27,14.1,1.23,12870,284.2692346,9301.936713
CC,73.03,9.32,3.81,100,1000,22000
CC,45.73,7.03,2.5,100,1000,22000
CC,61.13,13.61,8.58,100,1000,22000
CC,35.49,8.32,1.89,100,1000,22000
CE,46.41,18.38,14.21,4170,89.82632515,9570.279475
CE,14.46,10.28,4.89,5390,372.7274205,8956.490836
CC,19.2,18.02,3.6,100,1000,22000
CC,16.76,17.72,13.69,100,1000,22000
CC,18.3,5.5,4.44,100,1000,22000
CG,73.6,18,16.61,1000,50,13.59
CG,26.92,16.47,14.66,1000,50,37.15
CC,21.3,12.82,1.59,100,1000,22000
CE,22.05,7.56,3.58,3980,180.4738662,8835.352029
CG,37.81,18.92,12.92,1000,50,26.45
